year,pid,age,sex,marstat,educ,inctot,k6sum,outcome,label_outcome,label_sex,label_education
2021,101,80,2,10,201,21000,0,0,No,Female,High school graduate
2021,102,70,1,10,201,124800,0,0,No,Male,High school graduate
2021,101,63,2,30,400,35157,1,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,103,27,1,50,301,8100,2,0,No,Male,"Some college, no degree"
2021,101,38,2,50,202,26000,3,0,No,Female,GED or equivalent
2021,102,60,2,30,115,19300,2,0,No,Female,Grade 11
2021,101,76,1,10,201,46578,7,0,No,Male,High school graduate
2021,102,72,2,10,301,53290,1,0,No,Female,"Some college, no degree"
2021,101,69,2,10,301,45032,0,0,No,Female,"Some college, no degree"
2021,102,72,1,10,301,45032,0,0,No,Male,"Some college, no degree"
2021,102,46,1,10,400,10815,6,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,103,60,2,50,400,28177,1,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,69,1,30,201,17364,15,1,Yes,Male,High school graduate
2021,101,72,1,10,504,65149,2,0,No,Male,Other degree
2021,102,70,2,10,201,17149,1,0,No,Female,High school graduate
2021,101,65,2,30,115,11712,12,0,No,Female,Grade 11
2021,101,30,2,50,400,75000,1,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,47,2,50,201,26000,0,0,No,Female,High school graduate
2021,101,58,1,10,201,148283,2,0,No,Male,High school graduate
2021,102,59,2,10,201,3627,2,0,No,Female,High school graduate
2021,103,19,2,50,113,3000,3,0,No,Female,Grade 9
2021,102,26,1,50,202,68818,0,0,No,Male,GED or equivalent
2021,101,85,1,10,504,16200,2,0,No,Male,Other degree
2021,102,81,2,10,504,16200,2,0,No,Female,Other degree
2021,101,55,2,30,201,13328,7,0,No,Female,High school graduate
2021,102,31,2,30,504,20000,9,0,No,Female,Other degree
2021,103,53,1,50,201,30000,2,0,No,Male,High school graduate
